index,x,d,err_taylor,err_pade,log_err_taylor,log_err_pade
491,-0.9996471846,0.0003528154,5.024,3.404,1.6142508422,1.2249308254
492,-0.9996512273,0.0003487727,5.036,3.415,1.6165340233,1.2282406285
493,-0.9996552236,0.0003447764,5.047,3.427,1.6188120948,1.2315403035
494,-0.9996591741,0.0003408259,5.059,3.438,1.6210850788,1.2348299055
495,-0.9996630794,0.0003369206,5.07,3.449,1.623352997,1.2381094895
496,-0.99966694,0.00033306,5.082,3.46,1.6256158713,1.2413791097
497,-0.9996707563,0.0003292437,5.093,3.472,1.627873723,1.2446388203
498,-0.9996745288,0.0003254712,5.105,3.483,1.6301265738,1.2478886749
499,-0.9996782582,0.0003217418,5.116,3.494,1.6323744449,1.2511287267
500,-0.9996819448,0.0003180552,5.127,3.506,1.6346173575,1.2543590288
501,-0.9996855892,0.0003144108,5.139,3.517,1.6368553326,1.2575796335
502,-0.9996891918,0.0003108082,5.15,3.528,1.6390883913,1.2607905931
503,-0.9996927531,0.0003072469,5.162,3.54,1.6413165542,1.2639919593
504,-0.9996962736,0.0003037264,5.173,3.551,1.6435398422,1.2671837835
505,-0.9996997538,0.0003002462,5.185,3.562,1.6457582757,1.2703661168
506,-0.9997031941,0.0002968059,5.196,3.573,1.6479718751,1.2735390098
507,-0.999706595,0.000293405,5.208,3.585,1.6501806609,1.2767025129
508,-0.999709957,0.000290043,5.219,3.596,1.6523846531,1.279856676
509,-0.9997132804,0.0002867196,5.231,3.607,1.6545838719,1.2830015488
510,-0.9997165657,0.0002834343,5.242,3.619,1.6567783372,1.2861371805
511,-0.9997198133,0.0002801867,5.254,3.63,1.6589680688,1.2892636201
512,-0.9997230238,0.0002769762,5.265,3.641,1.6611530864,1.2923809161
513,-0.9997261975,0.0002738025,5.277,3.653,1.6633334097,1.2954891167
514,-0.9997293348,0.0002706652,5.288,3.664,1.6655090582,1.29858827
515,-0.9997324362,0.0002675638,5.3,3.675,1.6676800511,1.3016784234
516,-0.999735502,0.000264498,5.311,3.687,1.6698464077,1.3047596241
517,-0.9997385327,0.0002614673,5.323,3.698,1.6720081473,1.3078319192
518,-0.9997415286,0.0002584714,5.334,3.709,1.6741652887,1.3108953551
519,-0.9997444903,0.0002555097,5.346,3.721,1.676317851,1.3139499781
520,-0.999747418,0.000252582,5.357,3.732,1.6784658529,1.3169958342
521,-0.9997503122,0.0002496878,5.369,3.744,1.6806093131,1.3200329689
522,-0.9997531732,0.0002468268,5.38,3.755,1.6827482503,1.3230614276
523,-0.9997560014,0.0002439986,5.392,3.766,1.6848826827,1.3260812552
524,-0.9997587972,0.0002412028,5.403,3.778,1.687012629,1.3290924964
525,-0.999761561,0.000238439,5.415,3.789,1.6891381072,1.3320951956
526,-0.9997642931,0.0002357069,5.426,3.8,1.6912591356,1.3350893969
527,-0.9997669939,0.0002330061,5.438,3.812,1.6933757322,1.3380751439
528,-0.9997696637,0.0002303363,5.449,3.823,1.695487915,1.3410524802
529,-0.999772303,0.000227697,5.461,3.834,1.6975957017,1.3440214488
530,-0.999774912,0.000225088,5.472,3.846,1.6996991102,1.3469820927
531,-0.9997774911,0.0002225089,5.484,3.857,1.701798158,1.3499344545
532,-0.9997800407,0.0002199593,5.495,3.869,1.7038928628,1.3528785763
533,-0.9997825611,0.0002174389,5.507,3.88,1.7059832418,1.3558145002
534,-0.9997850525,0.0002149475,5.518,3.891,1.7080693125,1.3587422678
535,-0.9997875155,0.0002124845,5.53,3.903,1.7101510922,1.3616619207
536,-0.9997899502,0.0002100498,5.541,3.914,1.7122285978,1.3645734998
537,-0.999792357,0.000207643,5.553,3.925,1.7143018465,1.3674770461
538,-0.9997947362,0.0002052638,5.564,3.937,1.7163708552,1.3703726002
539,-0.9997970882,0.0002029118,5.576,3.948,1.7184356407,1.3732602023
540,-0.9997994132,0.0002005868,5.587,3.96,1.7204962199,1.3761398924
541,-0.9998017116,0.0001982884,5.599,3.971,1.7225526093,1.3790117103
542,-0.9998039837,0.0001960163,5.61,3.982,1.7246048254,1.3818756955
543,-0.9998062297,0.0001937703,5.622,3.994,1.7266528849,1.3847318872
544,-0.9998084499,0.0001915501,5.633,4.005,1.7286968039,1.3875803244
545,-0.9998106448,0.0001893552,5.645,4.017,1.7307365989,1.3904210457
546,-0.9998128145,0.0001871855,5.656,4.028,1.7327722859,1.3932540896
547,-0.9998149593,0.0001850407,5.668,4.039,1.7348038812,1.3960794942
548,-0.9998170795,0.0001829205,5.679,4.051,1.7368314006,1.3988972975
549,-0.9998191755,0.0001808245,5.691,4.062,1.7388548602,1.4017075371
550,-0.9998212474,0.0001787526,5.702,4.074,1.7408742756,1.4045102504
551,-0.9998232956,0.0001767044,5.714,4.085,1.7428896627,1.4073054746
552,-0.9998253204,0.0001746796,5.725,4.096,1.7449010372,1.4100932466
553,-0.9998273219,0.0001726781,5.737,4.108,1.7469084145,1.412873603
554,-0.9998293005,0.0001706995,5.748,4.119,1.7489118101,1.4156465803
555,-0.9998312564,0.0001687436,5.76,4.131,1.7509112395,1.4184122147
556,-0.9998331899,0.0001668101,5.771,4.142,1.7529067179,1.421170542
557,-0.9998351013,0.0001648987,5.783,4.153,1.7548982605,1.423921598
558,-0.9998369908,0.0001630092,5.794,4.165,1.7568858826,1.4266654182
559,-0.9998388586,0.0001611414,5.806,4.176,1.758869599,1.4294020378
560,-0.999840705,0.000159295,5.817,4.188,1.7608494249,1.4321314917
561,-0.9998425302,0.0001574698,5.829,4.199,1.762825375,1.4348538147
562,-0.9998443346,0.0001556654,5.84,4.21,1.7647974642,1.4375690414
563,-0.9998461182,0.0001538818,5.852,4.222,1.7667657072,1.440277206
