index,x-value,pointwise error (4 s.f.),MAE (yes/no)
633,-0.999931319,6.658,no
634,-0.9999321059,6.669,no
635,-0.9999328839,6.681,no
636,-0.9999336529,6.692,no
637,-0.9999344131,6.704,no
638,-0.9999351647,6.715,no
639,-0.9999359076,6.727,no
640,-0.999936642,6.738,no
641,-0.9999373679,6.75,no
642,-0.9999380856,6.761,no
643,-0.999938795,6.773,no
644,-0.9999394963,6.784,no
645,-0.9999401896,6.796,no
646,-0.9999408749,6.807,no
647,-0.9999415524,6.819,no
648,-0.9999422221,6.831,no
649,-0.9999428841,6.842,no
650,-0.9999435386,6.854,no
651,-0.9999441855,6.865,no
652,-0.9999448251,6.877,no
653,-0.9999454573,6.888,no
654,-0.9999460823,6.9,no
655,-0.9999467001,6.911,no
656,-0.9999473108,6.923,no
657,-0.9999479145,6.934,no
658,-0.9999485113,6.946,no
659,-0.9999491013,6.957,no
660,-0.9999496845,6.969,no
661,-0.999950261,6.98,no
662,-0.999950831,6.992,no
663,-0.9999513944,7.003,no
664,-0.9999519513,7.015,no
665,-0.9999525019,7.026,no
666,-0.9999530461,7.038,no
667,-0.9999535841,7.049,no
668,-0.999954116,7.061,no
669,-0.9999546417,7.072,no
670,-0.9999551614,7.084,no
671,-0.9999556752,7.095,no
672,-0.9999561831,7.107,no
673,-0.9999566852,7.118,no
674,-0.9999571815,7.13,no
675,-0.9999576721,7.142,no
676,-0.9999581571,7.153,no
677,-0.9999586366,7.165,no
678,-0.9999591105,7.176,no
679,-0.999959579,7.188,no
680,-0.9999600422,7.199,no
681,-0.9999605,7.211,no
682,-0.9999609526,7.222,no
683,-0.9999614001,7.234,no
684,-0.9999618424,7.245,no
685,-0.9999622796,7.257,no
686,-0.9999627118,7.268,no
687,-0.999963139,7.28,no
688,-0.9999635614,7.291,no
689,-0.9999639789,7.303,no
690,-0.9999643917,7.314,no
691,-0.9999647997,7.326,no
692,-0.999965203,7.337,no
693,-0.9999656017,7.349,no
694,-0.9999659959,7.36,no
695,-0.9999663855,7.372,no
696,-0.9999667707,7.383,no
697,-0.9999671514,7.395,no
698,-0.9999675278,7.406,no
699,-0.9999678999,7.418,no
700,-0.9999682677,7.43,no
701,-0.9999686313,7.441,no
702,-0.9999689907,7.453,no
703,-0.999969346,7.464,no
704,-0.9999696973,7.476,no
705,-0.9999700445,7.487,no
706,-0.9999703877,7.499,no
707,-0.9999707271,7.51,no
708,-0.9999710625,7.522,no
709,-0.999971394,7.533,no
710,-0.9999717218,7.545,no
711,-0.9999720458,7.556,no
712,-0.9999723661,7.568,no
713,-0.9999726828,7.579,no
714,-0.9999729958,7.591,no
715,-0.9999733052,7.602,no
716,-0.9999736111,7.614,no
717,-0.9999739135,7.625,no
718,-0.9999742124,7.637,no
719,-0.9999745079,7.648,no
720,-0.9999748,7.66,no
721,-0.9999750887,7.671,no
722,-0.9999753741,7.683,no
723,-0.9999756563,7.695,no
724,-0.9999759352,7.706,no
725,-0.999976211,7.718,no
726,-0.9999764836,7.729,no
727,-0.999976753,7.741,no
728,-0.9999770194,7.752,no
729,-0.9999772827,7.764,no
730,-0.999977543,7.775,no
731,-0.9999778003,7.787,no
732,-0.9999780547,7.798,no
733,-0.9999783062,7.81,no
734,-0.9999785547,7.821,no
735,-0.9999788005,7.833,no
736,-0.9999790434,7.844,no
737,-0.9999792835,7.856,no
738,-0.9999795209,7.867,no
739,-0.9999797555,7.879,no
740,-0.9999799875,7.89,no
741,-0.9999802168,7.902,no
742,-0.9999804435,7.913,no
743,-0.9999806676,7.925,no
744,-0.9999808891,7.936,no
745,-0.9999811081,7.948,no
746,-0.9999813245,7.96,no
747,-0.9999815385,7.971,no
748,-0.9999817501,7.983,no
749,-0.9999819592,7.994,no
750,-0.9999821659,8.006,no
751,-0.9999823702,8.017,no
752,-0.9999825723,8.029,no
753,-0.9999827719,8.04,no
754,-0.9999829693,8.052,no
755,-0.9999831645,8.063,no
756,-0.9999833574,8.075,no
757,-0.9999835481,8.086,no
758,-0.9999837366,8.098,no
759,-0.999983923,8.109,no
760,-0.9999841072,8.121,no
761,-0.9999842893,8.132,no
762,-0.9999844693,8.144,no
763,-0.9999846472,8.155,no
764,-0.9999848232,8.167,no
765,-0.9999849971,8.178,no
766,-0.999985169,8.19,no
767,-0.9999853389,8.201,no
768,-0.9999855069,8.213,no
769,-0.999985673,8.225,no
770,-0.9999858371,8.236,no
771,-0.9999859994,8.248,no
772,-0.9999861598,8.259,no
773,-0.9999863184,8.271,no
774,-0.9999864752,8.282,no
775,-0.9999866302,8.294,no
776,-0.9999867834,8.305,no
777,-0.9999869348,8.317,no
778,-0.9999870845,8.328,no
779,-0.9999872325,8.34,no
780,-0.9999873788,8.351,no
781,-0.9999875234,8.363,no
782,-0.9999876664,8.374,no
783,-0.9999878077,8.386,no
784,-0.9999879474,8.397,no
785,-0.9999880855,8.409,no
786,-0.999988222,8.42,no
787,-0.999988357,8.432,no
788,-0.9999884904,8.443,no
789,-0.9999886223,8.455,no
790,-0.9999887526,8.467,no
791,-0.9999888815,8.478,no
792,-0.9999890089,8.49,no
793,-0.9999891348,8.501,no
794,-0.9999892593,8.513,no
795,-0.9999893824,8.524,no
796,-0.9999895041,8.536,no
797,-0.9999896243,8.547,no
798,-0.9999897432,8.559,no
799,-0.9999898607,8.57,no
800,-0.9999899769,8.582,no
801,-0.9999900918,8.593,no
802,-0.9999902053,8.605,no
803,-0.9999903175,8.616,no
804,-0.9999904285,8.628,no
805,-0.9999905382,8.639,no
806,-0.9999906466,8.651,no
807,-0.9999907537,8.662,no
808,-0.9999908597,8.674,no
809,-0.9999909644,8.685,no
810,-0.999991068,8.697,no
811,-0.9999911703,8.709,no
812,-0.9999912715,8.72,no
813,-0.9999913715,8.732,no
814,-0.9999914704,8.743,no
815,-0.9999915681,8.755,no
816,-0.9999916647,8.766,no
817,-0.9999917602,8.778,no
818,-0.9999918546,8.789,no
819,-0.999991948,8.801,no
820,-0.9999920402,8.812,no
821,-0.9999921314,8.824,no
822,-0.9999922216,8.835,no
823,-0.9999923107,8.847,no
824,-0.9999923988,8.858,no
825,-0.9999924859,8.87,no
826,-0.999992572,8.881,no
827,-0.9999926571,8.893,no
828,-0.9999927413,8.904,no
829,-0.9999928244,8.916,no
830,-0.9999929067,8.927,no
831,-0.9999929879,8.939,no
832,-0.9999930683,8.951,no
833,-0.9999931477,8.962,no
834,-0.9999932262,8.974,no
835,-0.9999933038,8.985,no
836,-0.9999933806,8.997,no
837,-0.9999934564,9.008,no
838,-0.9999935314,9.02,no
839,-0.9999936055,9.031,no
840,-0.9999936788,9.043,no
