index,x-value,pointwise error (4 s.f.),MAE (yes/no)
555,1.570531265,3675,no
556,1.5705343022,3718,no
557,1.5705373045,3762,no
558,1.5705402725,3807,no
559,1.5705432064,3852,no
560,1.5705461068,3898,no
561,1.5705489739,3945,no
562,1.5705518081,3991,no
563,1.5705546099,4039,no
564,1.5705573795,4087,no
565,1.5705601175,4135,no
566,1.570562824,4184,no
567,1.5705654996,4234,no
568,1.5705681444,4284,no
569,1.570570759,4335,no
570,1.5705733437,4386,no
571,1.5705758987,4438,no
572,1.5705784244,4491,no
573,1.5705809212,4544,no
574,1.5705833894,4598,no
575,1.5705858293,4652,no
576,1.5705882412,4707,no
577,1.5705906255,4763,no
578,1.5705929825,4819,no
579,1.5705953125,4876,no
580,1.5705976158,4934,no
581,1.5705998927,4992,no
582,1.5706021435,5051,no
583,1.5706043685,5111,no
584,1.570606568,5171,no
585,1.5706087423,5232,no
586,1.5706108917,5294,no
587,1.5706130165,5356,no
588,1.5706151169,5420,no
589,1.5706171932,5483,no
590,1.5706192458,5548,no
591,1.5706212749,5614,no
592,1.5706232807,5680,no
593,1.5706252635,5747,no
594,1.5706272236,5815,no
595,1.5706291612,5883,no
596,1.5706310766,5952,no
597,1.5706329701,6022,no
598,1.5706348419,6093,no
599,1.5706366922,6165,no
600,1.5706385214,6238,no
601,1.5706403296,6311,no
602,1.570642117,6386,no
603,1.570643884,6461,no
604,1.5706456307,6537,no
605,1.5706473575,6614,no
606,1.5706490644,6691,no
607,1.5706507518,6770,no
608,1.5706524198,6850,no
609,1.5706540688,6930,no
610,1.5706556988,7012,no
611,1.5706573101,7094,no
612,1.570658903,7177,no
613,1.5706604777,7262,no
614,1.5706620343,7347,no
615,1.570663573,7433,no
616,1.5706650942,7521,no
617,1.5706665979,7609,no
618,1.5706680844,7698,no
619,1.5706695538,7789,no
620,1.5706710064,7880,no
621,1.5706724424,7973,no
622,1.5706738619,8066,no
623,1.5706752651,8161,no
624,1.5706766523,8257,no
625,1.5706780235,8353,no
626,1.5706793791,8451,no
627,1.5706807191,8550,no
628,1.5706820438,8651,no
629,1.5706833533,8752,no
630,1.5706846477,8855,no
631,1.5706859274,8958,no
632,1.5706871924,9063,no
633,1.5706884429,9170,no
634,1.570689679,9277,no
635,1.570690901,9386,no
636,1.570692109,9496,no
637,1.5706933032,9607,no
638,1.5706944837,9719,no
639,1.5706956506,9833,no
640,1.5706968042,9948,no
641,1.5706979446,1.006e+04,no
642,1.5706990719,1.018e+04,no
643,1.5707001862,1.03e+04,no
644,1.5707012878,1.042e+04,no
645,1.5707023768,1.054e+04,no
646,1.5707034533,1.067e+04,no
647,1.5707045175,1.079e+04,no
648,1.5707055695,1.092e+04,no
649,1.5707066094,1.105e+04,no
650,1.5707076374,1.118e+04,no
651,1.5707086536,1.131e+04,no
652,1.5707096582,1.144e+04,no
653,1.5707106513,1.157e+04,no
654,1.570711633,1.171e+04,no
655,1.5707126034,1.184e+04,no
656,1.5707135628,1.198e+04,no
657,1.5707145111,1.212e+04,no
658,1.5707154486,1.226e+04,no
659,1.5707163753,1.241e+04,no
660,1.5707172914,1.255e+04,no
661,1.570718197,1.27e+04,no
662,1.5707190923,1.285e+04,no
663,1.5707199772,1.3e+04,no
664,1.5707208521,1.315e+04,no
665,1.5707217169,1.33e+04,no
666,1.5707225718,1.346e+04,no
667,1.5707234169,1.362e+04,no
668,1.5707242523,1.377e+04,no
669,1.5707250782,1.394e+04,no
670,1.5707258946,1.41e+04,no
671,1.5707267016,1.426e+04,no
672,1.5707274994,1.443e+04,no
673,1.570728288,1.46e+04,no
674,1.5707290676,1.477e+04,no
675,1.5707298383,1.494e+04,no
676,1.5707306001,1.511e+04,no
677,1.5707313533,1.529e+04,no
678,1.5707320977,1.547e+04,no
679,1.5707328337,1.565e+04,no
680,1.5707335612,1.583e+04,no
681,1.5707342804,1.602e+04,no
682,1.5707349914,1.62e+04,no
683,1.5707356942,1.639e+04,no
684,1.5707363889,1.658e+04,no
685,1.5707370757,1.678e+04,no
686,1.5707377546,1.697e+04,no
687,1.5707384257,1.717e+04,no
688,1.5707390892,1.737e+04,no
689,1.570739745,1.757e+04,no
